Value	BitNum	Word	WordVal	WordHex
0	3	34	0	
1	4	34	1	
0	5	34	2	
0	6	34	4	
0	7	34	8	
1	8	34	17	
1	9	34	35	
1	10	34	71	
1	11	34	143	
1	12	34	287	
1	13	34	575	
1	14	34	1151	
1	15	34	2303	0x8FF
0	0	35	0	
0	1	35	0	
0	2	35	0	
0	3	35	0	
1	4	35	1	
0	5	35	2	
0	6	35	4	
0	7	35	8	
0	8	35	16	
0	9	35	32	
0	10	35	64	
0	11	35	128	
1	12	35	257	
0	13	35	514	
0	14	35	1028	
0	15	35	2056	0x808
0	0	36	0	
1	1	36	1	
1	2	36	3	
0	3	36	6	
0	4	36	12	
1	5	36	25	
1	6	36	51	
0	7	36	102	
0	8	36	204	
0	9	36	408	
1	10	36	817	
1	11	36	1635	
0	12	36	3270	
0	13	36	6540	
1	14	36	13081	
1	15	36	26163	0x6633
1	0	37	1	
0	1	37	2	
0	2	37	4	
1	3	37	9	
1	4	37	19	
0	5	37	38	
0	6	37	76	
1	7	37	153	
1	8	37	307	
1	9	37	615	
0	10	37	1230	
0	11	37	2460	
1	12	37	4921	
1	13	37	9843	
0	14	37	19686	
0	15	37	39372	0x99CC
1	0	38	1	
0	1	38	2	
0	2	38	4	
1	3	38	9	
1	4	38	19	
0	5	38	38	
0	6	38	76	
1	7	38	153	
0	8	38	306	
0	9	38	612	
1	10	38	1225	
1	11	38	2451	
0	12	38	4902	
0	13	38	9804	
1	14	38	19609	
1	15	38	39219	0x9933
0	0	39	0	
1	1	39	1	
1	2	39	3	
0	3	39	6	
0	4	39	12	
1	5	39	25	
1	6	39	51	
0	7	39	102	
1	8	39	205	
1	9	39	411	
0	10	39	822	
0	11	39	1644	
1	12	39	3289	
1	13	39	6579	
0	14	39	13158	
0	15	39	26316	0x66CC
1	0	40	1	
1	1	40	3	
1	2	40	7	
1	3	40	15	
1	4	40	31	
1	5	40	63	
1	6	40	127	
0	7	40	254	
1	8	40	509	
1	9	40	1019	
1	10	40	2039	
1	11	40	4079	
1	12	40	8159	
0	13	40	16318	
0	14	40	32636	
0	15	40	65272	0xFEF8
1	0	41	1	
1	1	41	3	
1	2	41	7	
0	3	41	14	
0	4	41	28	
0	5	41	56	
0	6	41	112	
0	7	41	224	
1	8	41	449	
0	9	41	898	
0	10	41	1796	
0	11	41	3592	
0	12	41	7184	
0	13	41	14368	
0	14	41	28736	
0	15	41	57472	0xE080
0	0	42	0	
1	1	42	1	
1	2	42	3	
1	3	42	7	
1	4	42	15	
1	5	42	31	
1	6	42	63	
1	7	42	127	
0	8	42	254	
0	9	42	508	
0	10	42	1016	
1	11	42	2033	
1	12	42	4067	
1	13	42	8135	
1	14	42	16271	
1	15	42	32543	0x7F1F
0	0	43	0	
0	1	43	0	
0	2	43	0	
0	3	43	0	
0	4	43	0	
1	5	43	1	
1	6	43	3	
1	7	43	7	
0	8	43	14	
0	9	43	28	
0	10	43	56	
0	11	43	112	
0	12	43	224	
0	13	43	448	
0	14	43	896	
1	15	43	1793	0x701
0	0	44	0	
0	1	44	0	
0	2	44	0	
0	3	44	0	
0	4	44	0	
0	5	44	0	
0	6	44	0	
1	7	44	1	
0	8	44	2	
0	9	44	4	
0	10	44	8	
0	11	44	16	
0	12	44	32	
1	13	44	65	
1	14	44	131	
1	15	44	263	0x107
0	0	45	0	
0	1	45	0	
0	2	45	0	
1	3	45	1	
1	4	45	3	
1	5	45	7	
1	6	45	15	
1	7	45	31	
0	8	45	62	
1	9	45	125	
1	10	45	251	
1	11	45	503	
1	12	45	1007	
1	13	45	2015	
1	14	45	4031	
1	15	45	8063	0x1F7F
1	0	46	1	
0	1	46	2	
0	2	46	4	
0	3	46	8	
0	4	46	16	
0	5	46	32	
0	6	46	64	
0	7	46	128	
1	8	46	257	
1	9	46	515	
1	10	46	1031	
0	11	46	2062	
0	12	46	4124	
0	13	46	8248	
0	14	46	16496	
0	15	46	32992	0x80E0
1	0	47	1	
1	1	47	3	
1	2	47	7	
1	3	47	15	
1	4	47	31	
0	5	47	62	
0	6	47	124	
0	7	47	248	
1	8	47	497	
1	9	47	995	
1	10	47	1991	
1	11	47	3983	
1	12	47	7967	
1	13	47	15935	
1	14	47	31871	
0	15	47	63742	0xF8FE
0	0	48	0	
1	1	48	1	
0	2	48	2	
1	3	48	5	
0	4	48	10	
1	5	48	21	
0	6	48	42	
1	7	48	85	
0	8	48	170	
0	9	48	340	
0	10	48	680	
0	11	48	1360	
0	12	48	2720	
0	13	48	5440	
0	14	48	10880	
0	15	48	21760	0x5500
1	0	49	1	
0	1	49	2	
1	2	49	5	
0	3	49	10	
1	4	49	21	
0	5	49	42	
1	6	49	85	
0	7	49	170	
0	8	49	340	
0	9	49	680	
0	10	49	1360	
0	11	49	2720	
0	12	49	5440	
0	13	49	10880	
0	14	49	21760	
0	15	49	43520	0xAA00
0	0	50	0	
1	1	50	1	
0	2	50	2	
1	3	50	5	
0	4	50	10	
1	5	50	21	
0	6	50	42	
1	7	50	85	
1	8	50	171	
0	9	50	342	
1	10	50	685	
0	11	50	1370	
1	12	50	2741	
0	13	50	5482	
1	14	50	10965	
0	15	50	21930	0x55AA
0	0	51	0	
1	1	51	1	
0	2	51	2	
1	3	51	5	
0	4	51	10	
1	5	51	21	
0	6	51	42	
1	7	51	85	
1	8	51	171	
0	9	51	342	
1	10	51	685	
0	11	51	1370	
1	12	51	2741	
0	13	51	5482	
1	14	51	10965	
0	15	51	21930	0x55AA
1	0	52	1	
1	1	52	3	
1	2	52	7	
1	3	52	15	
1	4	52	31	
1	5	52	63	
1	6	52	127	
1	7	52	255	
1	8	52	511	
0	9	52	1022	
1	10	52	2045	
0	11	52	4090	
1	12	52	8181	
0	13	52	16362	
1	14	52	32725	
0	15	52	65450	0xFFAA
1	0	53	1	
1	1	53	3	
1	2	53	7	
1	3	53	15	
1	4	53	31	
1	5	53	63	
1	6	53	127	
1	7	53	255	
0	8	53	510	
1	9	53	1021	
0	10	53	2042	
1	11	53	4085	
0	12	53	8170	
1	13	53	16341	
0	14	53	32682	
1	15	53	65365	0xFF55
0	0	54	0	
0	1	54	0	
0	2	54	0	
0	3	54	0	
1	4	54	1	
1	5	54	3	
1	6	54	7	
1	7	54	15	
0	8	54	30	
0	9	54	60	
0	10	54	120	
0	11	54	240	
1	12	54	481	
1	13	54	963	
1	14	54	1927	
1	15	54	3855	0xF0F
0	0	55	0	
0	1	55	0	
0	2	55	0	
0	3	55	0	
1	4	55	1	
1	5	55	3	
1	6	55	7	
1	7	55	15	
0	8	55	30	
0	9	55	60	
0	10	55	120	
0	11	55	240	
1	12	55	481	
1	13	55	963	
1	14	55	1927	
1	15	55	3855	0xF0F
1	0	56	1	
1	1	56	3	
1	2	56	7	
1	3	56	15	
0	4	56	30	
0	5	56	60	
0	6	56	120	
0	7	56	240	
1	8	56	481	
1	9	56	963	
1	10	56	1927	
1	11	56	3855	
0	12	56	7710	
0	13	56	15420	
0	14	56	30840	
0	15	56	61680	0xF0F0
1	0	57	1	
1	1	57	3	
1	2	57	7	
1	3	57	15	
0	4	57	30	
0	5	57	60	
0	6	57	120	
0	7	57	240	
1	8	57	481	
1	9	57	963	
1	10	57	1927	
1	11	57	3855	
0	12	57	7710	
0	13	57	15420	
0	14	57	30840	
0	15	57	61680	0xF0F0
0	0	58	0	
0	1	58	0	
0	2	58	0	
0	3	58	0	
0	4	58	0	
0	5	58	0	
0	6	58	0	
0	7	58	0	
0	8	58	0	
0	9	58	0	
0	10	58	0	
0	11	58	0	
0	12	58	0	
0	13	58	0	
0	14	58	0	
0	15	58	0	0x0
1	0	59	1	
1	1	59	3	
1	2	59	7	
1	3	59	15	
1	4	59	31	
1	5	59	63	
1	6	59	127	
1	7	59	255	
1	8	59	511	
1	9	59	1023	
1	10	59	2047	
1	11	59	4095	
1	12	59	8191	
1	13	59	16383	
1	14	59	32767	
1	15	59	65535	0xFFFF
1	0	60	1	
1	1	60	3	
1	2	60	7	
1	3	60	15	
1	4	60	31	
1	5	60	63	
1	6	60	127	
1	7	60	255	
1	8	60	511	
1	9	60	1023	
1	10	60	2047	
1	11	60	4095	
1	12	60	8191	
1	13	60	16383	
1	14	60	32767	
1	15	60	65535	0xFFFF
0	0	61	0	
0	1	61	0	
0	2	61	0	
0	3	61	0	
0	4	61	0	
0	5	61	0	
0	6	61	0	
0	7	61	0	
0	8	61	0	
0	9	61	0	
0	10	61	0	
0	11	61	0	
0	12	61	0	
0	13	61	0	
0	14	61	0	
0	15	61	0	0x0
1	0	62	1	
1	1	62	3	
1	2	62	7	
1	3	62	15	
1	4	62	31	
1	5	62	63	
1	6	62	127	
1	7	62	255	
1	8	62	511	
1	9	62	1023	
1	10	62	2047	
1	11	62	4095	
1	12	62	8191	
1	13	62	16383	
1	14	62	32767	
1	15	62	65535	0xFFFF
1	0	63	1	
1	1	63	3	
1	2	63	7	
1	3	63	15	
1	4	63	31	
1	5	63	63	
1	6	63	127	
1	7	63	255	
1	8	63	511	
1	9	63	1023	
1	10	63	2047	
1	11	63	4095	
1	12	63	8191	
1	13	63	16383	
1	14	63	32767	
1	15	63	65535	0xFFFF
0	0	64	0	
0	1	64	0	
0	2	64	0	
0	3	64	0	
0	4	64	0	
0	5	64	0	
0	6	64	0	
0	7	64	0	
0	8	64	0	
0	9	64	0	
0	10	64	0	
0	11	64	0	
0	12	64	0	
0	13	64	0	
0	14	64	0	
0	15	64	0	0x0
0	0	65	0	
0	1	65	0	
0	2	65	0	
0	3	65	0	
0	4	65	0	
0	5	65	0	
0	6	65	0	
0	7	65	0	
0	8	65	0	
0	9	65	0	
0	10	65	0	
0	11	65	0	
0	12	65	0	
0	13	65	0	
0	14	65	0	
0	15	65	0	0x0
0	0	66	0	
0	1	66	0	
0	2	66	0	
0	3	66	0	
0	4	66	0	
0	5	66	0	
0	6	66	0	
0	7	66	0	
0	8	66	0	
1	9	66	1	
0	10	66	2	
1	11	66	5	
1	12	66	11	
1	13	66	23	
1	14	66	47	
1	15	66	95	0x5F
0	0	67	0	
0	1	67	0	
0	2	67	0	
0	3	67	0	
0	4	67	0	
0	5	67	0	
0	6	67	0	
0	7	67	0	
0	8	67	0	
0	9	67	0	
0	10	67	0	
0	11	67	0	
0	12	67	0	
0	13	67	0	
0	14	67	0	
0	15	67	0	0x0
0	0	68	0	
0	1	68	0	
0	2	68	0	
0	3	68	0	
0	4	68	0	
0	5	68	0	
1	6	68	1	
1	7	68	3	
0	8	68	6	
0	9	68	12	
0	10	68	24	
0	11	68	48	
0	12	68	96	
0	13	68	192	
0	14	68	384	
0	15	68	768	0x300
0	0	69	0	
0	1	69	0	
0	2	69	0	
0	3	69	0	
0	4	69	0	
0	5	69	0	
1	6	69	1	
1	7	69	3	
0	8	69	6	
0	9	69	12	
0	10	69	24	
0	11	69	48	
0	12	69	96	
0	13	69	192	
0	14	69	384	
0	15	69	768	0x300
0	0	70	0	
0	1	70	0	
1	2	70	1	
1	3	70	3	
1	4	70	7	
1	5	70	15	
1	6	70	31	
0	7	70	62	
0	8	70	124	
0	9	70	248	
0	10	70	496	
1	11	70	993	
0	12	70	1986	
1	13	70	3973	
0	14	70	7946	
0	15	70	15892	0x3E14
0	0	71	0	
0	1	71	0	
1	2	71	1	
1	3	71	3	
1	4	71	7	
1	5	71	15	
1	6	71	31	
0	7	71	62	
0	8	71	124	
0	9	71	248	
0	10	71	496	
0	11	71	992	
0	12	71	1984	
0	13	71	3968	
0	14	71	7936	
0	15	71	15872	0x3E00
0	0	72	0	
0	1	72	0	
1	2	72	1	
0	3	72	2	
0	4	72	4	
1	5	72	9	
1	6	72	19	
0	7	72	38	
0	8	72	76	
1	9	72	153	
1	10	72	307	
0	11	72	614	
1	12	72	1229	
0	13	72	2458	
1	14	72	4917	
1	15	72	9835	0x266B
0	0	73	0	
0	1	73	0	
1	2	73	1	
1	3	73	3	
0	4	73	6	
0	5	73	12	
1	6	73	25	
0	7	73	50	
0	8	73	100	
0	9	73	200	
0	10	73	400	
0	11	73	800	
0	12	73	1600	
0	13	73	3200	
0	14	73	6400	
0	15	73	12800	0x3200
0	0	74	0	
1	1	74	1	
1	2	74	3	
0	3	74	6	
0	4	74	12	
0	5	74	24	
0	6	74	48	
1	7	74	97	
0	8	74	194	
0	9	74	388	
0	10	74	776	
1	11	74	1553	
1	12	74	3107	
1	13	74	6215	
0	14	74	12430	
0	15	74	24860	0x611C
0	0	75	0	
1	1	75	1	
0	2	75	2	
0	3	75	4	
0	4	75	8	
0	5	75	16	
1	6	75	33	
1	7	75	67	
0	8	75	134	
0	9	75	268	
0	10	75	536	
0	11	75	1072	
0	12	75	2144	
0	13	75	4288	
0	14	75	8576	
0	15	75	17152	0x4300
0	0	76	0	
0	1	76	0	
1	2	76	1	
1	3	76	3	
0	4	76	6	
1	5	76	13	
1	6	76	27	
0	7	76	54	
0	8	76	108	
0	9	76	216	
1	10	76	433	
0	11	76	866	
1	12	76	1733	
0	13	76	3466	
0	14	76	6932	
1	15	76	13865	0x3629
0	0	77	0	
1	1	77	1	
1	2	77	3	
1	3	77	7	
0	4	77	14	
1	5	77	29	
1	6	77	59	
0	7	77	118	
0	8	77	236	
1	9	77	473	
0	10	77	946	
1	11	77	1893	
0	12	77	3786	
0	13	77	7572	
0	14	77	15144	
0	15	77	30288	0x7650
0	0	78	0	
0	1	78	0	
0	2	78	0	
0	3	78	0	
0	4	78	0	
0	5	78	0	
0	6	78	0	
0	7	78	0	
0	8	78	0	
0	9	78	0	
0	10	78	0	
0	11	78	0	
0	12	78	0	
0	13	78	0	
1	14	78	1	
0	15	78	2	0x2
0	0	79	0	
0	1	79	0	
0	2	79	0	
0	3	79	0	
0	4	79	0	
0	5	79	0	
0	6	79	0	
1	7	79	1	
0	8	79	2	
0	9	79	4	
0	10	79	8	
0	11	79	16	
0	12	79	32	
0	13	79	64	
0	14	79	128	
0	15	79	256	0x100
0	0	80	0	
0	1	80	0	
0	2	80	0	
1	3	80	1	
1	4	80	3	
1	5	80	7	
0	6	80	14	
0	7	80	28	
0	8	80	56	
0	9	80	112	
1	10	80	225	
0	11	80	450	
0	12	80	900	
0	13	80	1800	
1	14	80	3601	
0	15	80	7202	0x1C22
0	0	81	0	
1	1	81	1	
0	2	81	2	
0	3	81	4	
0	4	81	8	
0	5	81	16	
0	6	81	32	
1	7	81	65	
0	8	81	130	
0	9	81	260	
0	10	81	520	
0	11	81	1040	
0	12	81	2080	
0	13	81	4160	
0	14	81	8320	
0	15	81	16640	0x4100
0	0	82	0	
1	1	82	1	
0	2	82	2	
0	3	82	4	
0	4	82	8	
0	5	82	16	
0	6	82	32	
1	7	82	65	
0	8	82	130	
0	9	82	260	
1	10	82	521	
0	11	82	1042	
0	12	82	2084	
0	13	82	4168	
1	14	82	8337	
0	15	82	16674	0x4122
0	0	83	0	
0	1	83	0	
0	2	83	0	
1	3	83	1	
1	4	83	3	
1	5	83	7	
0	6	83	14	
0	7	83	28	
0	8	83	56	
0	9	83	112	
0	10	83	224	
0	11	83	448	
0	12	83	896	
0	13	83	1792	
0	14	83	3584	
0	15	83	7168	0x1C00
0	0	84	0	
0	1	84	0	
0	2	84	0	
1	3	84	1	
0	4	84	2	
1	5	84	5	
0	6	84	10	
0	7	84	20	
0	8	84	40	
0	9	84	80	
0	10	84	160	
0	11	84	320	
1	12	84	641	
0	13	84	1282	
0	14	84	2564	
0	15	84	5128	0x1408
0	0	85	0	
0	1	85	0	
0	2	85	0	
1	3	85	1	
0	4	85	2	
1	5	85	5	
0	6	85	10	
0	7	85	20	
0	8	85	40	
0	9	85	80	
0	10	85	160	
0	11	85	320	
0	12	85	640	
0	13	85	1280	
0	14	85	2560	
0	15	85	5120	0x1400
0	0	86	0	
0	1	86	0	
0	2	86	0	
0	3	86	0	
1	4	86	1	
0	5	86	2	
0	6	86	4	
0	7	86	8	
0	8	86	16	
0	9	86	32	
0	10	86	64	
1	11	86	129	
1	12	86	259	
1	13	86	519	
0	14	86	1038	
0	15	86	2076	0x81C
0	0	87	0	
0	1	87	0	
0	2	87	0	
0	3	87	0	
1	4	87	1	
0	5	87	2	
0	6	87	4	
0	7	87	8	
0	8	87	16	
0	9	87	32	
0	10	87	64	
0	11	87	128	
0	12	87	256	
0	13	87	512	
0	14	87	1024	
0	15	87	2048	0x800
0	0	88	0	
1	1	88	1	
0	2	88	2	
0	3	88	4	
0	4	88	8	
0	5	88	16	
0	6	88	32	
0	7	88	64	
0	8	88	128	
0	9	88	256	
1	10	88	513	
0	11	88	1026	
0	12	88	2052	
0	13	88	4104	
0	14	88	8208	
0	15	88	16416	0x4020
0	0	89	0	
0	1	89	0	
0	2	89	0	
0	3	89	0	
0	4	89	0	
0	5	89	0	
0	6	89	0	
0	7	89	0	
0	8	89	0	
0	9	89	0	
0	10	89	0	
0	11	89	0	
0	12	89	0	
0	13	89	0	
0	14	89	0	
0	15	89	0	0x0
0	0	90	0	
0	1	90	0	
0	2	90	0	
0	3	90	0	
1	4	90	1	
0	5	90	2	
0	6	90	4	
0	7	90	8	
0	8	90	16	
0	9	90	32	
0	10	90	64	
0	11	90	128	
1	12	90	257	
0	13	90	514	
0	14	90	1028	
0	15	90	2056	0x808
0	0	91	0	
0	1	91	0	
0	2	91	0	
0	3	91	0	
1	4	91	1	
0	5	91	2	
0	6	91	4	
0	7	91	8	
0	8	91	16	
0	9	91	32	
0	10	91	64	
0	11	91	128	
0	12	91	256	
0	13	91	512	
0	14	91	1024	
